,variable,column,year,population
0,White,RACE,1870,39342
1,Black/African American/Negro,RACE,1870,436
2,Chinese,RACE,1870,7
3,American Indian or Alaska Native,RACE,1870,41
4,White,RACE,1880,190148
5,Black/African American/Negro,RACE,1880,3694
6,Chinese,RACE,1880,611
7,American Indian or Alaska Native,RACE,1880,35
8,White,RACE,1900,529574
9,Black/African American/Negro,RACE,1900,8313
10,Chinese,RACE,1900,589
11,Japanese,RACE,1900,48
12,American Indian or Alaska Native,RACE,1900,1047
13,White,RACE,1910,787438
14,Black/African American/Negro,RACE,1910,11569
15,American Indian or Alaska Native,RACE,1910,1437
16,Japanese,RACE,1910,2079
17,Other Asian or Pacific Islander,RACE,1910,151
18,Chinese,RACE,1910,356
19,White,RACE,1920,926004
20,Black/African American/Negro,RACE,1920,11644
21,Japanese,RACE,1920,2450
22,American Indian or Alaska Native,RACE,1920,1273
23,Other Asian or Pacific Islander,RACE,1920,206
24,Chinese,RACE,1920,278
25,White,RACE,1930,1019132
26,Japanese,RACE,1930,3224
27,Black/African American/Negro,RACE,1930,11875
28,Other Asian or Pacific Islander,RACE,1930,315
29,American Indian or Alaska Native,RACE,1930,1384
30,Chinese,RACE,1930,234
31,White,RACE,1940,1108910
32,Japanese,RACE,1940,2584
33,Other Asian or Pacific Islander,RACE,1940,295
34,American Indian or Alaska Native,RACE,1940,1270
35,Black/African American/Negro,RACE,1940,12118
36,Chinese,RACE,1940,222
37,White,RACED,1870,39342
38,Mulatto,RACED,1870,170
39,Black/African American/Negro,RACED,1870,266
40,Chinese,RACED,1870,7
41,American Indian/Alaska Native,RACED,1870,41
42,White,RACED,1880,190148
43,Black/African American/Negro,RACED,1880,1663
44,Chinese,RACED,1880,611
45,Mulatto,RACED,1880,2031
46,American Indian/Alaska Native,RACED,1880,35
47,White,RACED,1900,529574
48,Black/African American/Negro,RACED,1900,8313
49,Chinese,RACED,1900,589
50,Japanese,RACED,1900,48
51,American Indian/Alaska Native,RACED,1900,1047
52,White,RACED,1910,786341
53,Mulatto,RACED,1910,3727
54,American Indian/Alaska Native,RACED,1910,1437
55,Black/African American/Negro,RACED,1910,7842
56,Japanese,RACED,1910,2079
57,Mexican (1930),RACED,1910,1094
58,Filipino,RACED,1910,5
59,Chinese,RACED,1910,356
60,"Asian, not specified",RACED,1910,145
61,Spanish write_in,RACED,1910,3
62,Korean,RACED,1910,1
63,White,RACED,1920,925511
64,Black/African American/Negro,RACED,1920,8607
65,Japanese,RACED,1920,2450
66,Mexican (1930),RACED,1920,489
67,Puerto Rican (1910 Hawaii),RACED,1920,2
68,Mulatto,RACED,1920,3037
69,American Indian/Alaska Native,RACED,1920,1273
70,Korean,RACED,1920,8
71,Filipino,RACED,1920,198
72,Chinese,RACED,1920,278
73,Spanish write_in,RACED,1920,2
74,White,RACED,1930,961385
75,Mexican (1930),RACED,1930,57747
76,Japanese,RACED,1930,3224
77,Black/African American/Negro,RACED,1930,11875
78,Filipino,RACED,1930,255
79,Korean,RACED,1930,49
80,American Indian/Alaska Native,RACED,1930,1384
81,Chinese,RACED,1930,234
82,Asian Indian (Hindu 1920_1940),RACED,1930,10
83,Hawaiian,RACED,1930,1
84,White,RACED,1940,1108910
85,Japanese,RACED,1940,2584
86,Filipino,RACED,1940,279
87,American Indian/Alaska Native,RACED,1940,1270
88,Black/African American/Negro,RACED,1940,12118
89,Asian Indian (Hindu 1920_1940),RACED,1940,4
90,Chinese,RACED,1940,222
91,Korean,RACED,1940,12
92,White,RACESING,1870,39342
93,Black,RACESING,1870,436
94,Asian and/or Pacific Islander,RACESING,1870,7
95,American Indian/Alaska Native,RACESING,1870,41
96,White,RACESING,1880,190148
97,Black,RACESING,1880,3694
98,Asian and/or Pacific Islander,RACESING,1880,611
99,American Indian/Alaska Native,RACESING,1880,35
100,White,RACESING,1900,529574
101,Black,RACESING,1900,8313
102,Asian and/or Pacific Islander,RACESING,1900,637
103,American Indian/Alaska Native,RACESING,1900,1047
104,White,RACESING,1910,787438
105,Black,RACESING,1910,11569
106,American Indian/Alaska Native,RACESING,1910,1437
107,Asian and/or Pacific Islander,RACESING,1910,2586
108,White,RACESING,1920,926004
109,Black,RACESING,1920,11644
110,Asian and/or Pacific Islander,RACESING,1920,2934
111,American Indian/Alaska Native,RACESING,1920,1273
112,White,RACESING,1930,1019132
113,Asian and/or Pacific Islander,RACESING,1930,3773
114,Black,RACESING,1930,11875
115,American Indian/Alaska Native,RACESING,1930,1384
116,nan,RACESING,1940,1125399
117,White,RACESINGD,1870,39342
118,Mulatto,RACESINGD,1870,170
119,Black,RACESINGD,1870,266
120,Chinese,RACESINGD,1870,7
121,AI/AN (American Indian/Alaskan Native),RACESINGD,1870,41
122,White,RACESINGD,1880,190148
123,Black,RACESINGD,1880,1663
124,Chinese,RACESINGD,1880,611
125,Mulatto,RACESINGD,1880,2031
126,AI/AN (American Indian/Alaskan Native),RACESINGD,1880,35
127,White,RACESINGD,1900,529574
128,Black,RACESINGD,1900,8313
129,Chinese,RACESINGD,1900,589
130,Japanese,RACESINGD,1900,48
131,AI/AN (American Indian/Alaskan Native),RACESINGD,1900,1047
132,White,RACESINGD,1910,786341
133,Mulatto,RACESINGD,1910,3727
134,AI/AN (American Indian/Alaskan Native),RACESINGD,1910,1437
135,Black,RACESINGD,1910,7842
136,Japanese,RACESINGD,1910,2079
137,"""Other race"", Hispanic",RACESINGD,1910,1097
138,Filipino,RACESINGD,1910,5
139,Chinese,RACESINGD,1910,356
140,Asian,RACESINGD,1910,145
141,Korean,RACESINGD,1910,1
142,White,RACESINGD,1920,925511
143,Black,RACESINGD,1920,8607
144,Japanese,RACESINGD,1920,2450
145,"""Other race"", Hispanic",RACESINGD,1920,493
146,Mulatto,RACESINGD,1920,3037
147,AI/AN (American Indian/Alaskan Native),RACESINGD,1920,1273
148,Korean,RACESINGD,1920,8
149,Filipino,RACESINGD,1920,198
150,Chinese,RACESINGD,1920,278
151,White,RACESINGD,1930,961385
152,"""Other race"", Hispanic",RACESINGD,1930,57747
153,Japanese,RACESINGD,1930,3224
154,Black,RACESINGD,1930,11875
155,Filipino,RACESINGD,1930,255
156,Korean,RACESINGD,1930,49
157,AI/AN (American Indian/Alaskan Native),RACESINGD,1930,1384
158,Chinese,RACESINGD,1930,234
159,Asian Indian,RACESINGD,1930,10
160,Hawaiian,RACESINGD,1930,1
161,nan,RACESINGD,1940,1125399
162,Pennsylvania,BPL,1870,1572
163,Vermont,BPL,1870,375
164,Missouri,BPL,1870,1721
165,Kansas,BPL,1870,269
166,Colorado,BPL,1870,6334
167,Iowa,BPL,1870,1314
168,Ireland,BPL,1870,1702
169,Virginia,BPL,1870,510
170,Maryland,BPL,1870,197
171,Illinois,BPL,1870,1826
172,Mexico,BPL,1870,115
173,Germany,BPL,1870,1315
174,New York,BPL,1870,2796
175,North Carolina,BPL,1870,201
176,Ohio,BPL,1870,2072
177,Kentucky,BPL,1870,727
178,Tennessee,BPL,1870,291
179,Denmark,BPL,1870,47
180,New Hampshire,BPL,1870,138
181,Massachusetts,BPL,1870,629
182,Maine,BPL,1870,357
183,France,BPL,1870,207
184,Indiana,BPL,1870,817
185,Canada,BPL,1870,749
186,Michigan,BPL,1870,529
187,Switzerland,BPL,1870,143
188,Louisiana,BPL,1870,34
189,Wisconsin,BPL,1870,627
190,Mississippi,BPL,1870,42
191,Alabama,BPL,1870,59
192,Wales,BPL,1870,163
193,New Jersey,BPL,1870,177
194,California,BPL,1870,52
195,Nebraska,BPL,1870,183
196,Delaware,BPL,1870,27
197,Georgia,BPL,1870,260
198,Scotland,BPL,1870,195
199,Arkansas,BPL,1870,90
200,Wyoming,BPL,1870,54
201,Connecticut,BPL,1870,211
202,New Mexico,BPL,1870,8383
203,Sweden,BPL,1870,182
204,Rhode Island,BPL,1870,86
205,England,BPL,1870,1371
206,West Indies,BPL,1870,18
207,Minnesota,BPL,1870,82
208,Czechoslovakia,BPL,1870,15
209,West Virginia,BPL,1870,12
210,Texas,BPL,1870,143
211,Abroad (unknown) or at sea,BPL,1870,8
212,Utah,BPL,1870,67
213,Norway,BPL,1870,40
214,Oregon,BPL,1870,5
215,Netherlands,BPL,1870,17
216,Austria,BPL,1870,52
217,Poland,BPL,1870,49
218,South Carolina,BPL,1870,33
219,Other USSR/Russia,BPL,1870,17
220,District of Columbia,BPL,1870,20
221,Oklahoma,BPL,1870,2
222,SOUTH AMERICA,BPL,1870,11
223,Australia and New Zealand,BPL,1870,5
224,Hawaii,BPL,1870,2
225,Belgium,BPL,1870,11
226,Malta,BPL,1870,2
227,Montana,BPL,1870,11
228,Hungary,BPL,1870,2
229,China,BPL,1870,7
230,Spain,BPL,1870,5
231,Italy,BPL,1870,17
232,Florida,BPL,1870,7
233,Nevada,BPL,1870,3
234,South Dakota,BPL,1870,4
235,Native American,BPL,1870,1
236,Idaho,BPL,1870,1
237,Indonesia,BPL,1870,2
238,"United States, ns",BPL,1870,1
239,Luxembourg,BPL,1870,3
240,Alaska,BPL,1870,1
241,Cuba,BPL,1870,1
242,Ireland,BPL,1880,8314
243,Iowa,BPL,1880,7558
244,Colorado,BPL,1880,26058
245,Illinois,BPL,1880,13026
246,New York,BPL,1880,15551
247,Michigan,BPL,1880,3673
248,Pennsylvania,BPL,1880,11408
249,Ohio,BPL,1880,11776
250,Wisconsin,BPL,1880,3899
251,Missouri,BPL,1880,12609
252,New Hampshire,BPL,1880,739
253,Canada,BPL,1880,5821
254,Massachusetts,BPL,1880,3666
255,Italy,BPL,1880,335
256,Kansas,BPL,1880,4035
257,Germany,BPL,1880,6889
258,Switzerland,BPL,1880,528
259,Virginia,BPL,1880,2456
260,Austria,BPL,1880,438
261,Tennessee,BPL,1880,1979
262,Scotland,BPL,1880,1681
263,New Jersey,BPL,1880,1479
264,Indiana,BPL,1880,5233
265,Nebraska,BPL,1880,952
266,England,BPL,1880,8830
267,Poland,BPL,1880,173
268,Wales,BPL,1880,1231
269,Other USSR/Russia,BPL,1880,296
270,Belgium,BPL,1880,49
271,France,BPL,1880,888
272,Maryland,BPL,1880,1076
273,Minnesota,BPL,1880,694
274,California,BPL,1880,636
275,Kentucky,BPL,1880,3795
276,Netherlands,BPL,1880,114
277,Czechoslovakia,BPL,1880,96
278,New Mexico,BPL,1880,9524
279,Louisiana,BPL,1880,421
280,Connecticut,BPL,1880,1226
281,Arkansas,BPL,1880,759
282,China,BPL,1880,610
283,Maine,BPL,1880,2621
284,Alabama,BPL,1880,453
285,Denmark,BPL,1880,511
286,Rhode Island,BPL,1880,380
287,Georgia,BPL,1880,925
288,Vermont,BPL,1880,1571
289,Delaware,BPL,1880,234
290,Norway,BPL,1880,360
291,Florida,BPL,1880,66
292,North Carolina,BPL,1880,861
293,Texas,BPL,1880,1053
294,Australia and New Zealand,BPL,1880,51
295,Mississippi,BPL,1880,492
296,Nevada,BPL,1880,87
297,Montana,BPL,1880,50
298,Hungary,BPL,1880,48
299,Arizona,BPL,1880,13
300,Abroad (unknown) or at sea,BPL,1880,34
301,Wyoming,BPL,1880,240
302,Washington,BPL,1880,28
303,Sweden,BPL,1880,2176
304,South Carolina,BPL,1880,201
305,Utah,BPL,1880,239
306,Malta,BPL,1880,2
307,SOUTH AMERICA,BPL,1880,39
308,Portugal,BPL,1880,13
309,Mexico,BPL,1880,190
310,District of Columbia,BPL,1880,156
311,West Virginia,BPL,1880,410
312,AFRICA,BPL,1880,14
313,Luxembourg,BPL,1880,9
314,"United States, ns",BPL,1880,40
315,Oregon,BPL,1880,80
316,West Indies,BPL,1880,22
317,Oklahoma,BPL,1880,83
318,Cuba,BPL,1880,16
319,South Dakota,BPL,1880,56
320,Spain,BPL,1880,32
321,Japan,BPL,1880,1
322,"Europe, ns",BPL,1880,12
323,Finland,BPL,1880,12
324,Indonesia,BPL,1880,13
325,Atlantic Islands,BPL,1880,7
326,India,BPL,1880,16
327,Greece,BPL,1880,3
328,Idaho,BPL,1880,24
329,Romania,BPL,1880,1
330,Native American,BPL,1880,8
331,Yugoslavia,BPL,1880,1
332,Thailand,BPL,1880,2
333,Hawaii,BPL,1880,4
334,"Asia Minor, ns",BPL,1880,1
335,"Lapland, n.s.",BPL,1880,1
336,Turkey,BPL,1880,1
337,Central America,BPL,1880,1
338,"Asia, nec/ns",BPL,1880,1
339,Iceland,BPL,1880,2
340,Germany,BPL,1900,14768
341,Wisconsin,BPL,1900,8826
342,Colorado,BPL,1900,151960
343,New York,BPL,1900,22663
344,Ohio,BPL,1900,25207
345,Iowa,BPL,1900,25390
346,Pennsylvania,BPL,1900,20074
347,Illinois,BPL,1900,34510
348,Scotland,BPL,1900,4169
349,Missouri,BPL,1900,31545
350,Minnesota,BPL,1900,2638
351,Canada,BPL,1900,10673
352,West Virginia,BPL,1900,1830
353,Indiana,BPL,1900,14540
354,Nebraska,BPL,1900,11739
355,South Dakota,BPL,1900,881
356,Wales,BPL,1900,1979
357,England,BPL,1900,13805
358,Michigan,BPL,1900,8153
359,Switzerland,BPL,1900,1505
360,Alabama,BPL,1900,1316
361,Kansas,BPL,1900,21192
362,Utah,BPL,1900,2371
363,Other USSR/Russia,BPL,1900,2957
364,Maryland,BPL,1900,1905
365,Kentucky,BPL,1900,7294
366,South Carolina,BPL,1900,473
367,Ireland,BPL,1900,10361
368,California,BPL,1900,1910
369,Virginia,BPL,1900,3752
370,Delaware,BPL,1900,332
371,Austria,BPL,1900,6004
372,Vermont,BPL,1900,2062
373,Connecticut,BPL,1900,1638
374,New Jersey,BPL,1900,2521
375,Tennessee,BPL,1900,4234
376,New Mexico,BPL,1900,10244
377,New Hampshire,BPL,1900,935
378,Maine,BPL,1900,2869
379,Massachusetts,BPL,1900,4604
380,Sweden,BPL,1900,10842
381,Texas,BPL,1900,3608
382,Montana,BPL,1900,495
383,France,BPL,1900,1175
384,Idaho,BPL,1900,348
385,Norway,BPL,1900,1159
386,Georgia,BPL,1900,1804
387,Rhode Island,BPL,1900,521
388,Wyoming,BPL,1900,1306
389,Poland,BPL,1900,618
390,Romania,BPL,1900,28
391,Denmark,BPL,1900,2065
392,Hungary,BPL,1900,564
393,Czechoslovakia,BPL,1900,339
394,Arkansas,BPL,1900,1976
395,China,BPL,1900,585
396,Mississippi,BPL,1900,907
397,District of Columbia,BPL,1900,696
398,Oregon,BPL,1900,467
399,Florida,BPL,1900,177
400,Louisiana,BPL,1900,739
401,Italy,BPL,1900,6979
402,Portugal,BPL,1900,31
403,North Carolina,BPL,1900,1871
404,Turkey,BPL,1900,34
405,Luxembourg,BPL,1900,6
406,Netherlands,BPL,1900,262
407,Spain,BPL,1900,36
408,Oklahoma,BPL,1900,990
409,Belgium,BPL,1900,172
410,Arizona,BPL,1900,203
411,Australia and New Zealand,BPL,1900,124
412,India,BPL,1900,35
413,Nevada,BPL,1900,278
414,AFRICA,BPL,1900,14
415,"United States, ns",BPL,1900,593
416,Greece,BPL,1900,37
417,Japan,BPL,1900,56
418,Mexico,BPL,1900,331
419,Finland,BPL,1900,839
420,Alaska,BPL,1900,4
421,Cuba,BPL,1900,27
422,SOUTH AMERICA,BPL,1900,36
423,Syria,BPL,1900,68
424,Atlantic Islands,BPL,1900,7
425,West Indies,BPL,1900,54
426,"Europe, ns",BPL,1900,8
427,North Dakota,BPL,1900,167
428,Indonesia,BPL,1900,3
429,Philippines,BPL,1900,1
430,Yugoslavia,BPL,1900,11
431,Hawaii,BPL,1900,8
432,Central America,BPL,1900,1
433,Thailand,BPL,1900,1
434,Iceland,BPL,1900,2
435,Iran,BPL,1900,1
436,Native American,BPL,1900,2
437,"Southwest Asia, nec/ns",BPL,1900,19
438,"Asia, nec/ns",BPL,1900,8
439,"United Kingdom, ns",BPL,1900,1
440,Abroad (unknown) or at sea,BPL,1900,3
441,Colorado,BPL,1910,236465
442,Pennsylvania,BPL,1910,23340
443,New Mexico,BPL,1910,12020
444,"United States, ns",BPL,1910,6192
445,Texas,BPL,1910,6705
446,Iowa,BPL,1910,44481
447,Ohio,BPL,1910,30750
448,Kansas,BPL,1910,37443
449,Missouri,BPL,1910,50667
450,North Carolina,BPL,1910,2691
451,Kentucky,BPL,1910,10130
452,Massachusetts,BPL,1910,4806
453,Minnesota,BPL,1910,5407
454,Arkansas,BPL,1910,3679
455,New York,BPL,1910,23961
456,Illinois,BPL,1910,50303
457,Indiana,BPL,1910,21098
458,Oklahoma,BPL,1910,4666
459,Canada,BPL,1910,10203
460,Virginia,BPL,1910,4590
461,Nebraska,BPL,1910,24338
462,Michigan,BPL,1910,11097
463,Wisconsin,BPL,1910,11821
464,Scotland,BPL,1910,4347
465,West Virginia,BPL,1910,3274
466,Ireland,BPL,1910,8898
467,Finland,BPL,1910,1277
468,Germany,BPL,1910,17562
469,England,BPL,1910,13113
470,Sweden,BPL,1910,12674
471,Other USSR/Russia,BPL,1910,13206
472,South Dakota,BPL,1910,2215
473,Romania,BPL,1910,300
474,Utah,BPL,1910,2308
475,Tennessee,BPL,1910,6267
476,Spain,BPL,1910,161
477,Mexico,BPL,1910,2688
478,France,BPL,1910,1387
479,Denmark,BPL,1910,2739
480,Abroad (unknown) or at sea,BPL,1910,1809
481,South Carolina,BPL,1910,545
482,Alabama,BPL,1910,2254
483,Washington,BPL,1910,802
484,California,BPL,1910,2309
485,Norway,BPL,1910,1817
486,New Jersey,BPL,1910,2935
487,Maryland,BPL,1910,1997
488,Louisiana,BPL,1910,1231
489,Maine,BPL,1910,2611
490,Wyoming,BPL,1910,2149
491,Idaho,BPL,1910,586
492,Greece,BPL,1910,2040
493,Netherlands,BPL,1910,712
494,New Hampshire,BPL,1910,946
495,Connecticut,BPL,1910,1729
496,Hungary,BPL,1910,1493
497,Vermont,BPL,1910,2025
498,SOUTH AMERICA,BPL,1910,57
499,North Dakota,BPL,1910,584
500,Wales,BPL,1910,2009
501,Florida,BPL,1910,349
502,Turkey,BPL,1910,376
503,Austria,BPL,1910,13042
504,Nevada,BPL,1910,257
505,Georgia,BPL,1910,2360
506,Mississippi,BPL,1910,1250
507,Arizona,BPL,1910,496
508,Italy,BPL,1910,14456
509,Japan,BPL,1910,2231
510,Switzerland,BPL,1910,1700
511,Rhode Island,BPL,1910,503
512,Oregon,BPL,1910,702
513,Belgium,BPL,1910,374
514,India,BPL,1910,40
515,Montana,BPL,1910,716
516,District of Columbia,BPL,1910,324
517,Yugoslavia,BPL,1910,158
518,Alaska,BPL,1910,12
519,Delaware,BPL,1910,409
520,Cuba,BPL,1910,37
521,Czechoslovakia,BPL,1910,120
522,Poland,BPL,1910,132
523,Luxembourg,BPL,1910,21
524,Syria,BPL,1910,40
525,Hawaii,BPL,1910,23
526,AFRICA,BPL,1910,37
527,Puerto Rico,BPL,1910,3
528,Philippines,BPL,1910,14
529,China,BPL,1910,314
530,Bulgaria,BPL,1910,420
531,Portugal,BPL,1910,34
532,West Indies,BPL,1910,52
533,Australia and New Zealand,BPL,1910,47
534,"Europe, ns",BPL,1910,19
535,Lithuania,BPL,1910,2
536,Central America,BPL,1910,5
537,"Asia, nec/ns",BPL,1910,14
538,Israel/Palestine,BPL,1910,1
539,Indonesia,BPL,1910,2
540,Atlantic Islands,BPL,1910,2
541,U.S. Virgin Islands,BPL,1910,3
