Code,Label,Variable
45521,East Prussia,BPLD
45522,Pomerania,BPLD
45523,Posen,BPLD
45524,Prussian Poland,BPLD
45525,Silesia,BPLD
45526,West Prussia,BPLD
45530,Russian Poland,BPLD
45600,Romania,BPLD
45610,Transylvania,BPLD
45700,Yugoslavia,BPLD
45710,Croatia,BPLD
45720,Montenegro,BPLD
45730,Serbia,BPLD
45740,Bosnia,BPLD
45750,Dalmatia,BPLD
45760,Slovonia,BPLD
45770,Carniola,BPLD
45780,Slovenia,BPLD
45790,Kosovo,BPLD
45800,"Central Europe, ns",BPLD
45900,"Eastern Europe, ns",BPLD
46000,Estonia,BPLD
46100,Latvia,BPLD
46200,Lithuania,BPLD
46300,"Baltic States, ns",BPLD
46500,Other USSR/Russia,BPLD
46510,Byelorussia,BPLD
46520,Moldavia,BPLD
46521,Bessarabia,BPLD
46530,Ukraine,BPLD
46540,Armenia,BPLD
46541,Azerbaijan,BPLD
46542,Republic of Georgia,BPLD
46543,Kazakhstan,BPLD
46544,Kirghizia,BPLD
46545,Tadzhik,BPLD
46546,Turkmenistan,BPLD
46547,Uzbekistan,BPLD
46548,Siberia,BPLD
46590,"USSR, ns",BPLD
49900,"Europe, ns.",BPLD
50000,China,BPLD
50010,Hong Kong,BPLD
50020,Macau,BPLD
50030,Mongolia,BPLD
50040,Taiwan,BPLD
50100,Japan,BPLD
50200,Korea,BPLD
50210,North Korea,BPLD
50220,South Korea,BPLD
50900,"East Asia, ns",BPLD
51000,Brunei,BPLD
51100,Cambodia (Kampuchea),BPLD
51200,Indonesia,BPLD
51210,East Indies,BPLD
51220,East Timor,BPLD
51300,Laos,BPLD
51400,Malaysia,BPLD
51500,Philippines,BPLD
51600,Singapore,BPLD
51700,Thailand,BPLD
51800,Vietnam,BPLD
51900,"Southeast Asia, ns",BPLD
51910,"Indochina, ns",BPLD
52000,Afghanistan,BPLD
52100,India,BPLD
52110,Bangladesh,BPLD
52120,Bhutan,BPLD
52130,Burma (Myanmar),BPLD
52140,Pakistan,BPLD
52150,Sri Lanka (Ceylon),BPLD
52200,Iran,BPLD
52300,Maldives,BPLD
52400,Nepal,BPLD
53000,Bahrain,BPLD
53100,Cyprus,BPLD
53200,Iraq,BPLD
53210,Mesopotamia,BPLD
53300,Iraq/Saudi Arabia,BPLD
53400,Israel/Palestine,BPLD
53410,Gaza Strip,BPLD
53420,Palestine,BPLD
53430,West Bank,BPLD
53440,Israel,BPLD
53500,Jordan,BPLD
53600,Kuwait,BPLD
53700,Lebanon,BPLD
53800,Oman,BPLD
53900,Qatar,BPLD
54000,Saudi Arabia,BPLD
54100,Syria,BPLD
54200,Turkey,BPLD
54210,European Turkey,BPLD
54220,Asian Turkey,BPLD
54300,United Arab Emirates,BPLD
54400,Yemen Arab Republic (North),BPLD
54500,"Yemen, PDR (South)",BPLD
54600,"Persian Gulf States, ns",BPLD
54700,"Middle East, ns",BPLD
54800,"Southwest Asia, nec/ns",BPLD
54900,"Asia Minor, ns",BPLD
55000,"South Asia, nec",BPLD
59900,"Asia, nec/ns",BPLD
60000,Africa,BPLD
60010,Northern Africa,BPLD
60011,Algeria,BPLD
60012,Egypt/United Arab Rep.,BPLD
60013,Libya,BPLD
60014,Morocco,BPLD
60015,Sudan,BPLD
60016,Tunisia,BPLD
60017,Western Sahara,BPLD
60019,"North Africa, ns",BPLD
60020,Benin,BPLD
60021,Burkina Faso,BPLD
60022,Gambia,BPLD
60023,Ghana,BPLD
60024,Guinea,BPLD
60025,Guinea-Bissau,BPLD
60026,Ivory Coast,BPLD
60027,Liberia,BPLD
60028,Mali,BPLD
60029,Mauritania,BPLD
60030,Niger,BPLD
60031,Nigeria,BPLD
60032,Senegal,BPLD
60033,Sierra Leone,BPLD
60034,Togo,BPLD
60038,"Western Africa, ns",BPLD
60039,"French West Africa, ns",BPLD
60040,British Indian Ocean Territory,BPLD
60041,Burundi,BPLD
60042,Comoros,BPLD
60043,Djibouti,BPLD
60044,Ethiopia,BPLD
60045,Kenya,BPLD
60046,Madagascar,BPLD
60047,Malawi,BPLD
60048,Mauritius,BPLD
60049,Mozambique,BPLD
60050,Reunion,BPLD
60051,Rwanda,BPLD
60052,Seychelles,BPLD
60053,Somalia,BPLD
60054,Tanzania,BPLD
60055,Uganda,BPLD
60056,Zambia,BPLD
60057,Zimbabwe,BPLD
60058,Bassas de India,BPLD
60059,Europa,BPLD
60060,Gloriosos,BPLD
60061,Juan de Nova,BPLD
60062,Mayotte,BPLD
60063,Tromelin,BPLD
60064,"Eastern Africa, nec/ns",BPLD
60065,Eritrea,BPLD
60066,South Sudan,BPLD
60070,Central Africa,BPLD
60071,Angola,BPLD
60072,Cameroon,BPLD
60073,Central African Republic,BPLD
60074,Chad,BPLD
60075,Congo,BPLD
60076,Equatorial Guinea,BPLD
60077,Gabon,BPLD
60078,Sao Tome and Principe,BPLD
60079,Zaire,BPLD
60080,"Central Africa, ns",BPLD
60081,"Equatorial Africa, ns",BPLD
60082,"French Equatorial Africa, ns",BPLD
60090,Southern Africa,BPLD
60091,Botswana,BPLD
60092,Lesotho,BPLD
60093,Namibia,BPLD
60094,South Africa (Union of),BPLD
60095,Swaziland,BPLD
60096,"Southern Africa, ns",BPLD
60099,"Africa, ns/nec",BPLD
70000,Australia and New Zealand,BPLD
70010,Australia,BPLD
70011,Ashmore and Cartier Islands,BPLD
70012,Coral Sea Islands Territory,BPLD
70013,Christmas Island,BPLD
70014,Cocos Islands,BPLD
70020,New Zealand,BPLD
71000,Pacific Islands,BPLD
71010,New Caledonia,BPLD
71012,Papua New Guinea,BPLD
71013,Solomon Islands,BPLD
71014,Vanuatu (New Hebrides),BPLD
71015,Fiji,BPLD
71016,"Melanesia, ns",BPLD
71017,Norfolk Islands,BPLD
71018,Niue,BPLD
71020,Cook Islands,BPLD
71022,French Polynesia,BPLD
71023,Tonga,BPLD
71024,Wallis and Futuna Islands,BPLD
71025,Western Samoa,BPLD
71026,Pitcairn Island,BPLD
71027,Tokelau,BPLD
71028,Tuvalu,BPLD
71029,"Polynesia, ns",BPLD
71032,Kiribati,BPLD
71033,Canton and Enderbury,BPLD
71034,Nauru,BPLD
71039,"Micronesia, ns",BPLD
71040,US Pacific Trust Territories,BPLD
71041,Marshall Islands,BPLD
71042,Micronesia,BPLD
71043,Kosrae,BPLD
71044,Pohnpei,BPLD
71045,Truk,BPLD
71046,Yap,BPLD
71047,Northern Mariana Islands,BPLD
71048,Palau,BPLD
71049,"Pacific Trust Terr, ns",BPLD
71050,Clipperton Island,BPLD
71090,"Oceania, ns/nec",BPLD
80000,"Antarctica, ns/nec",BPLD
80010,Bouvet Islands,BPLD
80020,British Antarctic Terr.,BPLD
80030,Dronning Maud Land,BPLD
80040,French Southern and Antarctic Lands,BPLD
80050,Heard and McDonald Islands,BPLD
90000,Abroad (unknown) or at sea,BPLD
90010,"Abroad, ns",BPLD
90011,Abroad (US citizen),BPLD
90020,At sea,BPLD
90021,At sea (US citizen),BPLD
90022,At sea or abroad (U.S. citizen),BPLD
95000,Other n.e.c.,BPLD
99900,Missing/blank,BPLD
0,N/A,NATIVITY
1,"Native born, and both parents native born",NATIVITY
2,"Native born, and father foreign, mother native",NATIVITY
3,"Native born, and mother foreign, father native",NATIVITY
4,"Native born, and both parents foreign",NATIVITY
5,Foreign born,NATIVITY
0,N/A,CITIZEN
1,Born abroad of American parents,CITIZEN
2,Naturalized citizen,CITIZEN
3,Not a citizen,CITIZEN
4,"Not a citizen, but has received first papers",CITIZEN
5,"Foreign born, citizenship status not reported",CITIZEN
0,N/A,YRSUSA2
1,0-5 years,YRSUSA2
2,6-10 years,YRSUSA2
3,11-15 years,YRSUSA2
4,16-20 years,YRSUSA2
5,21+ years,YRSUSA2
9,Missing,YRSUSA2
0,N/A or blank,LANGUAGE
1,English,LANGUAGE
2,German,LANGUAGE
3,"Yiddish, Jewish",LANGUAGE
4,Dutch,LANGUAGE
5,Swedish,LANGUAGE
6,Danish,LANGUAGE
7,Norwegian,LANGUAGE
8,Icelandic,LANGUAGE
9,Scandinavian,LANGUAGE
10,Italian,LANGUAGE
11,French,LANGUAGE
12,Spanish,LANGUAGE
13,Portuguese,LANGUAGE
14,Rumanian,LANGUAGE
15,Celtic,LANGUAGE
16,Greek,LANGUAGE
17,Albanian,LANGUAGE
18,Russian,LANGUAGE
19,"Ukrainian, Ruthenian, Little Russian",LANGUAGE
20,Czech,LANGUAGE
21,Polish,LANGUAGE
22,Slovak,LANGUAGE
23,"Serbo-Croatian, Yugoslavian, Slavonian",LANGUAGE
24,Slovene,LANGUAGE
25,Lithuanian,LANGUAGE
26,Other Balto-Slavic,LANGUAGE
27,Slavic unknown,LANGUAGE
28,Armenian,LANGUAGE
29,"Persian, Iranian, Farsi",LANGUAGE
30,Other Persian dialects,LANGUAGE
31,Hindi and related,LANGUAGE
32,"Romany, Gypsy",LANGUAGE
33,Finnish,LANGUAGE
34,"Magyar, Hungarian",LANGUAGE
35,Uralic,LANGUAGE
36,Turkish,LANGUAGE
37,Other Altaic,LANGUAGE
38,"Caucasian, Georgian, Avar",LANGUAGE
39,Basque,LANGUAGE
40,Dravidian,LANGUAGE
41,Kurukh,LANGUAGE
42,Burushaski,LANGUAGE
43,Chinese,LANGUAGE
44,Tibetan,LANGUAGE
45,"Burmese, Lisu, Lolo",LANGUAGE
46,Kachin,LANGUAGE
47,"Thai, Siamese, Lao",LANGUAGE
48,Japanese,LANGUAGE
49,Korean,LANGUAGE
50,Vietnamese,LANGUAGE
51,Other East/Southeast Asian,LANGUAGE
52,Indonesian,LANGUAGE
53,Other Malayan,LANGUAGE
54,"Filipino, Tagalog",LANGUAGE
55,"Micronesian, Polynesian",LANGUAGE
56,Hawaiian,LANGUAGE
57,Arabic,LANGUAGE
58,Near East Arabic dialect,LANGUAGE
59,"Hebrew, Israeli",LANGUAGE
60,"Amharic, Ethiopian, etc.",LANGUAGE
61,Hamitic,LANGUAGE
62,Other Afro-Asiatic languages,LANGUAGE
63,Sub-Saharan Africa,LANGUAGE
64,"African, n.s.",LANGUAGE
70,American Indian (all),LANGUAGE
71,"Aleut, Eskimo",LANGUAGE
72,Algonquian,LANGUAGE
73,"Salish, Flathead",LANGUAGE
74,Athapascan,LANGUAGE
75,Navajo,LANGUAGE
76,Penutian-Sahaptin,LANGUAGE
77,Other Penutian,LANGUAGE
78,Zuni,LANGUAGE
79,Yuman,LANGUAGE
80,Other Hokan languages,LANGUAGE
81,Siouan languages,LANGUAGE
82,Muskogean,LANGUAGE
83,Keres,LANGUAGE
84,Iroquoian,LANGUAGE
85,Caddoan,LANGUAGE
86,Shoshonean/Hopi,LANGUAGE
87,"Pima, Papago",LANGUAGE
88,"Yaqui and other Sonoran, nec",LANGUAGE
89,"Aztecan, Nahuatl, Uto-Aztecan",LANGUAGE
90,Tanoan languages,LANGUAGE
91,Other Indian languages,LANGUAGE
92,Mayan languages,LANGUAGE
93,"American Indian, n.s.",LANGUAGE
94,Native,LANGUAGE
95,No language,LANGUAGE
96,Other or not reported,LANGUAGE
0,N/A or blank,LANGUAGED
100,English,LANGUAGED
110,Jamaican Creole,LANGUAGED
120,"Krio, Pidgin Krio",LANGUAGED
130,Hawaiian Pidgin,LANGUAGED
140,Pidgin,LANGUAGED
150,"Gullah, Geechee",LANGUAGED
160,Saramacca,LANGUAGED
170,Other English-based Creole languages,LANGUAGED
200,German,LANGUAGED
210,Austrian,LANGUAGED
220,Swiss,LANGUAGED
230,Luxembourgian,LANGUAGED
240,Pennsylvania Dutch,LANGUAGED
300,"Yiddish, Jewish",LANGUAGED
310,Jewish,LANGUAGED
320,Yiddish,LANGUAGED
400,Dutch,LANGUAGED
410,"Dutch, Flemish, Belgian",LANGUAGED
420,Afrikaans,LANGUAGED
430,Frisian,LANGUAGED
440,"Dutch, Afrikaans, Frisian",LANGUAGED
450,"Belgian, Flemish",LANGUAGED
460,Belgian,LANGUAGED
470,Flemish,LANGUAGED
500,Swedish,LANGUAGED
600,Danish,LANGUAGED
700,Norwegian,LANGUAGED
800,Icelandic,LANGUAGED
810,Faroese,LANGUAGED
900,Scandinavian,LANGUAGED
1000,Italian,LANGUAGED
1010,"Rhaeto-Romanic, Ladin",LANGUAGED
1020,Friulian,LANGUAGED
1030,Romansh,LANGUAGED
1100,French,LANGUAGED
1110,"French, Walloon",LANGUAGED
1120,Provencal,LANGUAGED
1130,Patois,LANGUAGED
1140,French or Haitian Creole,LANGUAGED
1150,Cajun,LANGUAGED
1200,Spanish,LANGUAGED
1210,"Catalonian, Valencian",LANGUAGED
1220,"Ladino, Sefaradit, Spanol",LANGUAGED
1230,Pachuco,LANGUAGED
1250,Mexican,LANGUAGED
1300,Portuguese,LANGUAGED
1310,Papia Mentae,LANGUAGED
1320,Cape Verdean Creole,LANGUAGED
1400,Rumanian,LANGUAGED
1500,Celtic,LANGUAGED
1510,"Welsh, Breton, Cornish",LANGUAGED
1520,Welsh,LANGUAGED
1530,Breton,LANGUAGED
1540,"Irish Gaelic, Gaelic",LANGUAGED
1550,Gaelic,LANGUAGED
1560,Irish,LANGUAGED
1570,Scottish Gaelic,LANGUAGED
1580,Scotch,LANGUAGED
1590,"Manx, Manx Gaelic",LANGUAGED
1600,Greek,LANGUAGED
1700,Albanian,LANGUAGED
1800,Russian,LANGUAGED
1810,"Russian, Great Russian",LANGUAGED
1811,Great Russian,LANGUAGED
1820,"Bielo-, White Russian",LANGUAGED
1900,"Ukrainian, Ruthenian, Little Russian",LANGUAGED
1910,Ruthenian,LANGUAGED
1920,Little Russian,LANGUAGED
1930,Ukrainian,LANGUAGED
2000,Czech,LANGUAGED
2010,Bohemian,LANGUAGED
2020,Moravian,LANGUAGED
2100,Polish,LANGUAGED
2110,"Kashubian, Slovincian",LANGUAGED
2200,Slovak,LANGUAGED
2300,"Serbo-Croatian, Yugoslavian, Slavonian",LANGUAGED
2310,Croatian,LANGUAGED
2320,Serbian,LANGUAGED
2321,Bosnian,LANGUAGED
2330,"Dalmatian, Montenegrin",LANGUAGED
2331,Dalmatian,LANGUAGED
2332,Montenegrin,LANGUAGED
2400,Slovene,LANGUAGED
2500,Lithuanian,LANGUAGED
2510,"Lettish, Latvian",LANGUAGED
2600,Other Balto-Slavic,LANGUAGED
2610,Bulgarian,LANGUAGED
2620,"Lusatian, Sorbian, Wendish",LANGUAGED
2621,Wendish,LANGUAGED
2630,Macedonian,LANGUAGED
2700,Slavic unknown,LANGUAGED
2800,Armenian,LANGUAGED
2900,"Persian, Iranian, Farsi",LANGUAGED
2910,Persian,LANGUAGED
2920,Dari,LANGUAGED
3000,Other Persian dialects,LANGUAGED
3010,"Pashto, Afghan",LANGUAGED
3020,Kurdish,LANGUAGED
3030,Balochi,LANGUAGED
3040,Tadzhik,LANGUAGED
3050,Ossete,LANGUAGED
3100,Hindi and related,LANGUAGED
3101,"Hindi, Hindustani, Indic, Jaipuri, Pali, Urdu",LANGUAGED
3102,Hindi,LANGUAGED
3103,Urdu,LANGUAGED
3104,Other Indo-Iranian languages,LANGUAGED
3110,Other Indo-Aryan,LANGUAGED
3111,Sanskrit,LANGUAGED
3112,Bengali,LANGUAGED
3113,Panjabi,LANGUAGED
3114,Marathi,LANGUAGED
3115,Gujarathi,LANGUAGED
3116,Bihari,LANGUAGED
3117,Rajasthani,LANGUAGED
3118,Oriya,LANGUAGED
3119,Assamese,LANGUAGED
3120,Kashmiri,LANGUAGED
3121,Sindhi,LANGUAGED
3122,Maldivian,LANGUAGED
3123,Sinhalese,LANGUAGED
3130,Kannada,LANGUAGED
3140,India nec,LANGUAGED
3150,Pakistan nec,LANGUAGED
3190,Other Indo-European languages,LANGUAGED
3200,"Romany, Gypsy",LANGUAGED
3210,Gypsy,LANGUAGED
3300,Finnish,LANGUAGED
3400,"Magyar, Hungarian",LANGUAGED
3401,Magyar,LANGUAGED
3402,Hungarian,LANGUAGED
3500,Uralic,LANGUAGED
3510,"Estonian, Ingrian, Livonian, Vepsian, Votic",LANGUAGED
3511,Estonian,LANGUAGED
3520,"Lapp, Inari, Kola, Lule, Pite, Ruija, Skolt, Ume",LANGUAGED
3521,Lappish,LANGUAGED
3530,Other Uralic,LANGUAGED
3600,Turkish,LANGUAGED
3700,Other Altaic,LANGUAGED
3701,Chuvash,LANGUAGED
3702,Karakalpak,LANGUAGED
3703,Kazakh,LANGUAGED
3704,Kirghiz,LANGUAGED
3705,"Karachay, Tatar, Balkar, Bashkir, Kumyk",LANGUAGED
3706,"Uzbek, Uighur",LANGUAGED
3707,Azerbaijani,LANGUAGED
3708,Turkmen,LANGUAGED
3709,Yakut,LANGUAGED
3710,Mongolian,LANGUAGED
3711,Tungus,LANGUAGED
3800,"Caucasian, Georgian, Avar",LANGUAGED
3810,Georgian,LANGUAGED
3900,Basque,LANGUAGED
4000,Dravidian,LANGUAGED
4001,Brahui,LANGUAGED
4002,Gondi,LANGUAGED
4003,Telugu,LANGUAGED
4004,Malayalam,LANGUAGED
4005,Tamil,LANGUAGED
4010,Bhili,LANGUAGED
4011,Nepali,LANGUAGED
4100,Kurukh,LANGUAGED
4110,Munda,LANGUAGED
4200,Burushaski,LANGUAGED
4300,Chinese,LANGUAGED
4301,"Chinese, Cantonese, Min, Yueh",LANGUAGED
4302,Cantonese,LANGUAGED
4303,Mandarin,LANGUAGED
4310,Other Chinese,LANGUAGED
4311,"Hakka, Fukien, Kechia",LANGUAGED
4312,"Kan, Nan Chang",LANGUAGED
4313,"Hsiang, Chansa, Hunan, Iyan",LANGUAGED
4314,"Fuchow, Min Pei",LANGUAGED
4315,Wu,LANGUAGED
4400,Tibetan,LANGUAGED
4410,"Miao-Yao, Mien",LANGUAGED
4420,"Miao, Hmong",LANGUAGED
4430,Iu Mien,LANGUAGED
4500,"Burmese, Lisu, Lolo",LANGUAGED
4510,Karen,LANGUAGED
4520,Chin languages,LANGUAGED
4600,Kachin,LANGUAGED
4700,"Thai, Siamese, Lao",LANGUAGED
4710,Thai,LANGUAGED
4720,Laotian,LANGUAGED
4800,Japanese,LANGUAGED
4900,Korean,LANGUAGED
5000,Vietnamese,LANGUAGED
5100,Other East/Southeast Asian,LANGUAGED
5110,Ainu,LANGUAGED
5120,"Mon-Khmer, Cambodian",LANGUAGED
5130,"Siberian, n.e.c.",LANGUAGED
5140,Yukagir,LANGUAGED
5150,Muong,LANGUAGED
5200,Indonesian,LANGUAGED
5210,Buginese,LANGUAGED
5220,Moluccan,LANGUAGED
5230,Achinese,LANGUAGED
5240,Balinese,LANGUAGED
5250,Cham,LANGUAGED
5260,Madurese,LANGUAGED
5270,Malay,LANGUAGED
5280,Minangkabau,LANGUAGED
5290,Other Asian languages,LANGUAGED
5300,Other Malayan,LANGUAGED
5310,"Formosan, Taiwanese",LANGUAGED
5320,Javanese,LANGUAGED
5330,Malagasy,LANGUAGED
5340,Sundanese,LANGUAGED
5400,"Filipino, Tagalog",LANGUAGED
5410,Bisayan,LANGUAGED
5420,Sebuano,LANGUAGED
5430,Pangasinan,LANGUAGED
5440,"Llocano, Hocano",LANGUAGED
5450,Bikol,LANGUAGED
5460,Pampangan,LANGUAGED
5470,Gorontalo,LANGUAGED
5480,Palau,LANGUAGED
5500,"Micronesian, Polynesian",LANGUAGED
5501,Micronesian,LANGUAGED
5502,Carolinian,LANGUAGED
5503,"Chamorro, Guamanian",LANGUAGED
5504,Gilbertese,LANGUAGED
5505,Kusaiean,LANGUAGED
5506,Marshallese,LANGUAGED
5507,Mokilese,LANGUAGED
5508,Mortlockese,LANGUAGED
5509,Nauruan,LANGUAGED
5510,Ponapean,LANGUAGED
5511,Trukese,LANGUAGED
5512,"Ulithean, Fais",LANGUAGED
5513,Woleai-Ulithi,LANGUAGED
5514,Yapese,LANGUAGED
5520,Melanesian,LANGUAGED
5521,Polynesian,LANGUAGED
5522,Samoan,LANGUAGED
5523,Tongan,LANGUAGED
5524,Niuean,LANGUAGED
5525,Tokelauan,LANGUAGED
5526,Fijian,LANGUAGED
5527,Marquesan,LANGUAGED
5528,Rarotongan,LANGUAGED
5529,Maori,LANGUAGED
5530,"Nukuoro, Kapingarangan",LANGUAGED
5590,Other Pacific Island languages,LANGUAGED
5600,Hawaiian,LANGUAGED
5700,Arabic,LANGUAGED
5710,"Algerian, Moroccan, Tunisian",LANGUAGED
5720,Egyptian,LANGUAGED
5730,Iraqi,LANGUAGED
5740,Libyan,LANGUAGED
5750,Maltese,LANGUAGED
5800,Near East Arabic dialect,LANGUAGED
5810,"Syriac, Aramaic, Chaldean",LANGUAGED
5820,Syrian,LANGUAGED
5900,"Hebrew, Israeli",LANGUAGED
6000,"Amharic, Ethiopian, etc.",LANGUAGED
6100,Hamitic,LANGUAGED
6110,Berber,LANGUAGED
6120,"Chadic, Hamitic, Hausa",LANGUAGED
6130,"Cushite, Beja, Somali",LANGUAGED
6200,Other Afro-Asiatic languages,LANGUAGED
6300,Nilotic,LANGUAGED
6301,Nilo-Hamitic,LANGUAGED
6302,Nubian,LANGUAGED
6303,Saharan,LANGUAGED
6304,"Nilo-Saharan, Fur, Songhai",LANGUAGED
6305,Khoisan,LANGUAGED
6306,Sudanic,LANGUAGED
6307,Bantu (many subheads),LANGUAGED
6308,Swahili,LANGUAGED
6309,Mande,LANGUAGED
6310,Fulani,LANGUAGED
6311,Gur,LANGUAGED
6312,Kru,LANGUAGED
6313,"Efik, Ibibio, Tiv",LANGUAGED
6314,"Mbum, Gbaya, Sango, Zande",LANGUAGED
6320,Eastern Sudanic and Khoisan,LANGUAGED
6321,Niger-Congo regions (many subheads),LANGUAGED
6322,"Congo, Kongo, Luba, Ruanda, Rundi, Santali, Swahili",LANGUAGED
6390,Other specified African languages,LANGUAGED
6400,"African, n.s.",LANGUAGED
7000,American Indian (all),LANGUAGED
7100,"Aleut, Eskimo",LANGUAGED
7110,Aleut,LANGUAGED
7120,Pacific Gulf Yupik,LANGUAGED
7130,Eskimo,LANGUAGED
7140,"Inupik, Innuit",LANGUAGED
7150,St. Lawrence Isl. Yupik,LANGUAGED
7160,Yupik,LANGUAGED
7200,Algonquian,LANGUAGED
7201,Arapaho,LANGUAGED
7202,"Atsina, Gros Ventre",LANGUAGED
7203,Blackfoot,LANGUAGED
7204,Cheyenne,LANGUAGED
7205,Cree,LANGUAGED
7206,"Delaware, Lenni-Lenape",LANGUAGED
7207,"Fox, Sac",LANGUAGED
7208,Kickapoo,LANGUAGED
7209,Menomini,LANGUAGED
7210,"Metis, French Cree",LANGUAGED
7211,Miami,LANGUAGED
7212,Micmac,LANGUAGED
7213,"Ojibwa, Chippewa",LANGUAGED
7214,Ottawa,LANGUAGED
7215,"Passamaquoddy, Malecite",LANGUAGED
7216,Penobscot,LANGUAGED
7217,Abnaki,LANGUAGED
7218,Potawatomi,LANGUAGED
7219,Shawnee,LANGUAGED
7300,"Salish, Flathead",LANGUAGED
7301,Lower Chehalis,LANGUAGED
7302,"Upper Chehalis, Chelalis, Satsop",LANGUAGED
7303,Clallam,LANGUAGED
7304,"Coeur dAlene, Skitsamish",LANGUAGED
7305,"Columbia, Chelan, Wenatchee",LANGUAGED
7306,Cowlitz,LANGUAGED
7307,Nootsack,LANGUAGED
7308,Okanogan,LANGUAGED
7309,Puget Sound Salish,LANGUAGED
7310,"Quinault, Queets",LANGUAGED
7311,Tillamook,LANGUAGED
7312,Twana,LANGUAGED
7313,Kalispel,LANGUAGED
7314,Spokane,LANGUAGED
7400,Athapascan,LANGUAGED
7401,Ahtena,LANGUAGED
7402,Han,LANGUAGED
7403,Ingalit,LANGUAGED
7404,Koyukon,LANGUAGED
7405,Kuchin,LANGUAGED
7406,Upper Kuskokwim,LANGUAGED
7407,Tanaina,LANGUAGED
7408,"Tanana, Minto",LANGUAGED
7409,Tanacross,LANGUAGED
7410,"Upper Tanana, Nabesena, Tetlin",LANGUAGED
7411,Tutchone,LANGUAGED
7412,"Chasta Costa, Chetco, Coquille, Smith River Athapascan",LANGUAGED
7413,Hupa,LANGUAGED
7420,Apache,LANGUAGED
7421,"Jicarilla, Lipan",LANGUAGED
7422,"Chiricahua, Mescalero",LANGUAGED
7423,"San Carlos, Cibecue, White Mountain",LANGUAGED
7424,Kiowa-Apache,LANGUAGED
7430,Kiowa,LANGUAGED
7440,Eyak,LANGUAGED
7450,"Other Athapascan-Eyak, Cahto, Mattole, Wailaki",LANGUAGED
7490,Other Algonquin languages,LANGUAGED
7500,Navajo,LANGUAGED
7600,Penutian-Sahaptin,LANGUAGED
7610,"Klamath, Modoc",LANGUAGED
7620,Nez Perce,LANGUAGED
7630,"Sahaptian, Celilo, Klikitat, Palouse, Tenino, Umatilla, Warm",LANGUAGED
7700,"Mountain Maidu, Maidu",LANGUAGED
7701,"Northwest Maidu, Concow",LANGUAGED
7702,"Southern Maidu, Nisenan",LANGUAGED
7703,"Coast Miwok, Bodega, Marin",LANGUAGED
7704,Plains Miwok,LANGUAGED
7705,"Sierra Miwok, Miwok",LANGUAGED
7706,"Nomlaki, Tehama",LANGUAGED
7707,"Patwin, Colouse, Suisun",LANGUAGED
7708,Wintun,LANGUAGED
7709,Foothill North Yokuts,LANGUAGED
7710,Tachi,LANGUAGED
7711,"Santiam, Calapooya, Wapatu",LANGUAGED
7712,"Siuslaw, Coos, Lower Umpqua",LANGUAGED
7713,Tsimshian,LANGUAGED
7714,"Upper Chinook, Clackamas, Multnomah, Wasco, Wishram",LANGUAGED
7715,Chinook Jargon,LANGUAGED
7800,Zuni,LANGUAGED
7900,Yuman,LANGUAGED
7910,Upriver Yuman,LANGUAGED
7920,Cocomaricopa,LANGUAGED
7930,Mohave,LANGUAGED
7940,Diegueno,LANGUAGED
7950,Delta River Yuman,LANGUAGED
7960,Upland Yuman,LANGUAGED
7970,Havasupai,LANGUAGED
7980,Walapai,LANGUAGED
7990,Yavapai,LANGUAGED
8000,Achumawi,LANGUAGED
8010,Atsugewi,LANGUAGED
8020,Karok,LANGUAGED
8030,Pomo,LANGUAGED
8040,Shastan,LANGUAGED
8050,Washo,LANGUAGED
8060,Chumash,LANGUAGED
8100,Siouan languages,LANGUAGED
8101,"Crow, Absaroke",LANGUAGED
8102,Hidatsa,LANGUAGED
8103,Mandan,LANGUAGED
8104,"Dakota, Lakota, Nakota, Sioux",LANGUAGED
8105,Chiwere,LANGUAGED
8106,Winnebago,LANGUAGED
8107,"Kansa, Kaw",LANGUAGED
8108,Omaha,LANGUAGED
8109,Osage,LANGUAGED
8110,Ponca,LANGUAGED
8111,"Quapaw, Arkansas",LANGUAGED
8120,Iowa,LANGUAGED
8200,Muskogean,LANGUAGED
8210,Alabama,LANGUAGED
8220,"Choctaw, Chickasaw",LANGUAGED
8230,Mikasuki,LANGUAGED
8240,"Hichita, Apalachicola",LANGUAGED
8250,Koasati,LANGUAGED
8260,"Muskogee, Creek, Seminole",LANGUAGED
8300,Keres,LANGUAGED
8400,Iroquoian,LANGUAGED
8410,Mohawk,LANGUAGED
8420,Oneida,LANGUAGED
8430,Onondaga,LANGUAGED
8440,Cayuga,LANGUAGED
8450,Seneca,LANGUAGED
8460,Tuscarora,LANGUAGED
8470,"Wyandot, Huron",LANGUAGED
8480,Cherokee,LANGUAGED
8500,Caddoan,LANGUAGED
